TimeStamp,Reference,Position,Speed,Current,Voltage,Error,Kp x Error,Error Sum / Ti,Td x Delta PV,PID Output,Unnamed: 11,TimeStamp.1,Position.1,TimeShift
5.0,-9.996185,-8.86,0.0,-4.047499,-9.058286,-1.136797,-7.170214,-3.004501,0.001526,-10.176242,,5.0,-8.86,0.0
5.01,9.999237,-8.86,0.0,-4.669306,86.093596,18.858625,100.0,-2.78172,0.001526,97.216754,,5.01,-8.86,0.009999999999999787
5.02,9.999237,-7.54,1.75,88.846348,65.031704,17.537194,100.0,-2.327001,-23.784237,73.88571,,5.02,-7.54,0.019999999999999574
5.03,9.999237,-3.7,8.0,88.474991,13.37247,13.698024,86.288243,-1.93637,-69.103532,15.245289,,5.03,-3.7,0.03000000000000025
5.04,9.999237,-0.9,7.75,8.074847,14.695624,10.896468,68.639658,-1.631189,-50.42649,16.578927,,5.04,-0.9,0.040000000000000036
5.05,9.999237,2.14,9.125,2.801008,-5.880056,7.85687,49.489586,-1.396201,-54.711223,-6.62089,,5.05,2.14,0.04999999999999982
5.05,9.999237,2.14,9.125,2.801008,-5.880056,7.85687,49.489586,-1.396201,-54.711223,-6.62089,,5.05,2.14,0.04999999999999982
5.06,9.999237,5.0,9.25,-10.458438,-18.845099,4.99733,31.474784,-1.234455,-51.470207,-21.232929,,5.06,5.0,0.05999999999999961
5.07,9.999237,7.62,8.75,-35.019791,-29.372387,2.378882,14.979782,-1.142901,-47.130541,-33.296712,,5.07,7.62,0.07000000000000028
5.08,9.999237,9.48,6.125,-56.535444,-27.894495,0.517281,3.251698,-1.106279,-33.507286,-31.36492,,5.08,9.48,0.08000000000000007
5.09,9.999237,10.14,2.125,-45.789133,-12.330644,-0.141909,-0.901808,-1.103227,-11.86389,-13.871977,,5.09,10.14,0.08999999999999986
5.1,9.999237,10.12,-0.875,-6.284275,-1.390904,-0.123598,-0.78584,-1.106279,0.331121,-1.56405,,5.1,10.12,0.09999999999999964
5.11,9.999237,9.98,-1.75,0.172724,1.302177,0.016785,0.099184,-1.106279,2.52842,1.518273,,5.11,9.98,0.11000000000000032
5.12,9.999237,9.84,-2.0,1.186038,2.120676,0.157168,0.981155,-1.106279,2.52842,2.400244,,5.12,9.84,0.1200000000000001
5.13,9.999237,9.68,-1.875,1.373156,3.374909,0.318914,2.000458,-1.100175,2.912947,3.810178,,5.13,9.68,0.1299999999999999
5.14,9.999237,9.54,-1.5,1.603454,3.80516,0.459297,2.885481,-1.087968,2.52842,4.322881,,5.14,9.54,0.13999999999999968
5.15,9.999237,9.42,-1.0,1.603454,4.143684,0.578317,3.636225,-1.075761,2.143893,4.701305,,5.15,9.42,0.15000000000000036
5.16,9.999237,9.2,-0.75,1.833753,6.997754,0.798047,5.018692,-1.060502,3.956664,7.911803,,5.16,9.2,0.16000000000000014
5.17,9.999237,8.82,-0.625,2.662828,11.671364,1.176471,7.405203,-1.036088,6.813153,13.179217,,5.17,8.82,0.16999999999999993
5.18,9.999237,8.58,0.0,8.221662,10.823263,1.417563,8.92195,-1.002518,4.341192,12.257572,,5.18,8.58,0.17999999999999972
5.19,9.999237,8.58,0.625,6.077006,7.039095,1.417563,8.92195,-0.965896,0.001526,7.954528,,5.19,8.58,0.1900000000000004
5.2,9.999237,8.68,0.75,2.570709,4.872702,1.316854,8.287175,-0.932326,-1.811246,5.540551,,5.2,8.68,0.20000000000000018
5.21,9.999237,8.72,0.5,2.041022,5.690996,1.27718,8.036927,-0.901808,-0.712596,6.419471,,5.21,8.72,0.20999999999999996
5.21,9.999237,8.72,0.5,2.041022,5.690996,1.27718,8.036927,-0.901808,-0.712596,6.419471,,5.21,8.72,0.20999999999999996
5.22,9.999237,8.7,0.125,2.31738,6.809167,1.298543,8.174258,-0.868238,0.386053,7.689021,,5.22,8.7,0.21999999999999975
5.23,9.999237,8.68,-0.125,2.593739,6.898974,1.316854,8.287175,-0.834668,0.331121,7.780575,,5.23,8.68,0.23000000000000043
5.24,9.999237,8.66,-0.25,2.570709,7.091952,1.338216,8.421454,-0.801099,0.386053,8.003357,,5.24,8.66,0.2400000000000002
5.25,9.999237,8.66,-0.25,2.662828,6.749817,1.338216,8.421454,-0.767529,0.001526,7.652399,,5.25,8.66,0.25
5.26,9.999237,8.66,-0.25,2.547679,6.800258,1.338216,8.421454,-0.737011,0.001526,7.682918,,5.26,8.66,0.2599999999999998
5.27,9.999237,8.66,-0.125,2.524649,6.804712,1.338216,8.421454,-0.703441,0.001526,7.716487,,5.27,8.66,0.2699999999999996
5.28,9.999237,8.66,-0.125,2.478589,6.841897,1.338216,8.421454,-0.669871,0.001526,7.750057,,5.28,8.66,0.28000000000000025
5.29,9.999237,8.68,0.125,2.501619,6.414427,1.316854,8.287175,-0.636301,-0.383001,7.26482,,5.29,8.68,0.29000000000000004
5.3,9.999237,8.68,0.125,2.38647,6.79803,1.316854,8.287175,-0.602731,0.001526,7.682918,,5.3,8.68,0.2999999999999998
5.31,9.999237,8.68,0.125,2.524649,6.795803,1.316854,8.287175,-0.569162,0.001526,7.716487,,5.31,8.68,0.3099999999999996
5.32,9.999237,8.68,0.125,2.547679,6.846243,1.316854,8.287175,-0.535592,0.001526,7.750057,,5.32,8.68,0.3200000000000003
5.33,9.999237,8.68,0.0,2.65995,6.896715,1.316854,8.287175,-0.505074,0.001526,7.780575,,5.33,8.68,0.33000000000000007
5.34,9.999237,8.68,0.0,2.570709,6.894456,1.316854,8.287175,-0.471504,0.001526,7.814145,,5.34,8.68,0.33999999999999986
5.35,9.999237,8.68,0.0,2.570709,6.942669,1.316854,8.287175,-0.437934,0.001526,7.847715,,5.35,8.68,0.34999999999999964
5.36,9.999237,8.68,0.0,2.616769,6.940395,1.316854,8.287175,-0.404364,0.001526,7.881285,,5.36,8.68,0.3600000000000003
5.37,9.999237,8.68,0.0,2.593739,6.995463,1.316854,8.287175,-0.373846,0.001526,7.911803,,5.37,8.68,0.3700000000000001
5.37,9.999237,8.68,0.0,2.593739,6.995463,1.316854,8.287175,-0.373846,0.001526,7.911803,,5.37,8.68,0.3700000000000001
5.38,9.999237,8.68,0.0,2.570709,7.036789,1.316854,8.287175,-0.340276,0.001526,7.945373,,5.38,8.68,0.3799999999999999
5.39,9.999237,8.68,0.0,2.616769,7.036789,1.316854,8.287175,-0.306706,0.001526,7.978943,,5.39,8.68,0.3899999999999997
5.4,9.999237,8.68,0.0,2.731918,7.08963,1.316854,8.287175,-0.273136,0.001526,8.012512,,5.4,8.68,0.40000000000000036
5.41,9.999237,8.68,0.0,2.708888,7.135521,1.316854,8.287175,-0.239567,0.001526,8.046082,,5.41,8.68,0.41000000000000014
5.42,9.999237,8.68,0.0,2.616769,7.135521,1.316854,8.287175,-0.209049,0.001526,8.0766,,5.42,8.68,0.41999999999999993
5.43,9.999237,8.68,0.0,2.639798,7.183734,1.316854,8.287175,-0.175479,0.001526,8.11017,,5.43,8.68,0.4299999999999997
5.44,9.999237,8.68,0.0,2.639798,7.18138,1.316854,8.287175,-0.141909,0.001526,8.14374,,5.44,8.68,0.4400000000000004
5.45,9.999237,8.68,0.0,2.639798,7.236686,1.316854,8.287175,-0.108339,0.001526,8.17731,,5.45,8.68,0.4500000000000002
5.46,9.999237,8.68,0.0,2.731918,7.231947,1.316854,8.287175,-0.077821,0.001526,8.207828,,5.46,8.68,0.45999999999999996
5.47,9.999237,8.68,0.0,2.685858,7.277775,1.316854,8.287175,-0.044251,0.001526,8.241398,,5.47,8.68,0.46999999999999975
5.48,9.999237,8.68,0.0,2.754948,7.330774,1.316854,8.287175,-0.010681,0.001526,8.274968,,5.48,8.68,0.4800000000000004
5.49,9.999237,8.68,0.0,2.708888,7.328373,1.316854,8.287175,0.022889,0.001526,8.308537,,5.49,8.68,0.4900000000000002
5.5,9.999237,8.68,0.0,2.708888,7.38142,1.316854,8.287175,0.056458,0.001526,8.342107,,5.5,8.68,0.5
